,Q1_natur_kom_1,Q1_natur_kom_2,Q1_natur_kom_3,Q1_kultur_kom_1,Q1_kultur_kom_2,Q1_kultur_kom_3,Q1_kultur_kom_4,Q1_kultur_kom_5,Q1_kultur_kom_6,Q1_kultur_kom_7,Q1_arbeid_kom_1,Q1_arbeid_kom_2,Q1_arbeid_kom_3,Q1_samferdsel_kom_1,Q1_samferdsel_kom_2,Q1_samferdsel_kom_3,Q1_samferdsel_kom_4,Q1_samferdsel_kom_5,Q1_samferdsel_kom_6,Q1_renovasjon_kom_1,Q1_renovasjon_kom_2,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q5_1,Q6_1,Q7_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q11_1,Q13_1,Q14_1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q18,Q19_1,Q19_2,Q55a_1,Q55a_2,Q55a_3,Q55a_4,Q55a_9,Q64a_1,Q64a_2,Q64a_3,Q64a_4,Q64a_5,Q64a_6,Q64a_7,Q64a_8,Q64a_9,Q65a_1,Q65a_2,Q65a_3,Q65a_4,Q65a_5,Q65a_6,Q65ana,Q66a_1,Q68a,Id,Alderkat,Q61a,Kommunestr,Q49a,Sentralitet,Q63a,Q67a,Q53a,Q54a,Spraak_1.0,Spraak_2.0,Spraak_4.0,Spraak_5.0,Q57a_1.0,Q57a_2.0,Q57a_3.0,Q57a_4.0,Q57a_5.0,Q57a_6.0,Q57a_7.0,Q46a_1.0,Q46a_2.0,Q46a_3.0,Q46a_4.0,Q46a_5.0,Q46a_6.0,Q46a_7.0,Q46a_8.0,Q46a_9.0,Q46a_10.0,Q48a_1.0,Q48a_2.0,Q48a_3.0,Q52a_1.0,Q52a_2.0,Q52a_3.0,Q52a_4.0,Q60a_0.0,Q60a_1.0,Q60a_2.0,Q60a_3.0,Q58a_0.0,Q58a_1.0,Q58a_2.0,Q58a_3.0,Q62a_1.0,Q62a_2.0,Q62a_3.0,Q62a_4.0,Q62a_5.0,Q56a_1.0,Q56a_2.0,Q56a_3.0,Q56a_4.0,Fylke_1,Fylke_2,Fylke_3,Fylke_4,Fylke_5,Fylke_6,Fylke_7,Fylke_8,Fylke_9,Fylke_10,Fylke_11,Fylke_12,Fylke_14,Fylke_15,Fylke_18,Fylke_19,Fylke_20,Fylke_50
1481,5.50468241827562,6.0,7.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,3.0,5.0,5.0,6.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,1.829637026676962,2.0,1.7204281185851908,1.8738640616803308,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,127211.0,5,4.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,6.0,6.0,6.0,3.8271792652607104,3.786703227858642,1.0,1.0,4.0,3.5709482815478046,4.232607352719509,4.999527967400164,4.0,3.567405185253279,1.0,1.0,1.0,1.57603900286124,1.0,5.0,7.0,4.952789021221922,3.0,6.0,6.12323234005609,6.0,5.0,6.0,6.0,5.0,4.0,7.0,4.0,7.0,5.0,5.427869960207389,6.0,8.0,5.0102890666822155,5.591993955378863,4.0,5.316726815150012,5.243117262512085,4.687347937753259,4.2630108255126515,4.102006988926152,2.0,2.0,1.0,2.0,12.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,127246.0,2,7.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1483,5.0,7.0,7.0,5.5442094487718165,5.503043309137596,5.169561679987126,4.807715766105546,5.822442773296781,5.563143262417671,5.351985711187857,6.296604500996155,4.619574653769585,4.789697977122436,6.0,6.0,5.571625198609864,5.30092457304884,5.922622720152285,7.0,6.0,6.0,6.426708683273602,5.1439036481460905,5.062071731018474,5.231898801605268,5.0792919541973305,4.77922502134209,6.380943132966844,5.972951635595396,5.802770410268753,6.315851221163349,6.460751978962172,6.26089648183176,5.988175325827973,6.0274137719825704,5.949615389998057,8.0,5.133153998099497,6.196989332151736,5.494279388119142,6.102213247636345,6.0,5.805538481928066,4.693993707878014,5.0,2.0,1.7627846603977895,1.890233906558736,2.0388145873846986,1.0,1.0543785388792166,6.202380814843809,6.29073697325645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,127250.0,5,3.7864642083554934,3.0,1.0,4.0,1.0,2.0,2.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,7.0,4.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,1.0,5.0,5.0,6.0,3.0,5.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,127258.0,3,8.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1485,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.770113536223532,5.0,3.939318030652097,5.0,5.0,5.0,5.0,4.556307519647693,3.0,2.0,3.0,6.0,5.390863964318175,6.0,6.0,5.0,5.0,5.0,4.934345995757917,5.0,4.842548923961253,4.650487598840426,4.0,4.0,4.0,4.565342334719457,8.0,4.668090007038598,4.844604079048578,4.449134698177538,5.0,5.0,4.246455064410298,3.914959347286523,3.779549891712234,2.0,2.0,1.0,1.8704473324858701,13.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,127262.0,4,3.0,3.0,5.0,4.0,3.0,1.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,6.0,6.0,4.0,4.238549389030692,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.1819295903503955,6.0,3.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,5.17053061204661,5.0,5.0,6.0,4.0,5.0,5.328991241839314,8.0,3.9643818998142777,4.724568624271171,2.0,4.0,5.0,4.567211629291968,4.411273413330161,5.0,2.0,2.0,1.0,2.0,12.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,127269.0,4,7.0,2.0,2.0,4.0,4.0,1.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487,5.0,4.0,5.0,4.509507130631341,4.596623936033562,4.424044703579383,4.1718778028292585,5.0,4.798671447937958,4.262712918363693,5.252567835984094,3.4630205552209588,3.435584286298771,4.0,4.0,4.0701017233157,3.271574450967289,3.83554809800272,4.0,7.0,4.636856497785661,4.0,3.4039361654696,3.670150521837096,3.638863402877687,3.4567919873842663,3.3537725269769183,4.0,3.9583051201069486,3.7631446406540787,4.487966206354739,4.476442033538354,4.0,4.0,4.08023141736093,3.810924867520915,8.0,3.543845683476071,4.959879282350725,3.8885848630399007,4.0,4.0,4.186897516736747,3.144912938689232,3.0708010393487326,1.8913469512483658,1.678919930336752,1.6683522915782283,1.8574583587774964,13.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,127353.0,5,4.0,2.0,5.0,4.0,1.0,2.0,2.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1488,3.9195009724935135,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,127356.0,5,3.0,4.0,5.0,4.0,1.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,7.0,7.029577767173413,7.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,2.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,13.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,127377.0,3,6.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1490,4.0,3.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.458167930927769,5.21012317165346,4.0,5.0,5.0,4.292932342000853,4.582079596953816,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.871210004856103,4.517552942423636,6.0,6.0,6.0,5.135233745027693,5.499528952259626,5.0,5.0,4.3973982814264225,4.794006982792279,8.0,4.43884051180067,5.498981027938417,6.0,5.0,5.0,5.343467382852782,4.068841478887279,4.0,2.0,2.0,2.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,127382.0,4,5.0,3.0,2.0,4.0,3.0,1.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
